date,nav,daily_ret
2024-05-28,0.6117,1.0740251156642566
2024-05-29,0.6077,-0.6539153179663248
2024-05-30,0.6249,2.830343919697209
2024-05-31,0.6494,3.9206273003680625
2024-06-03,0.64,-1.4474899907606975
2024-06-04,0.632,-1.2499999999999956
2024-06-05,0.6283,-0.5854430379746867
2024-06-06,0.6041,-3.851663218207868
2024-06-07,0.5986,-0.9104452905148053
2024-06-11,0.6189,3.3912462412295286
2024-06-12,0.6196,0.11310389400549514
2024-06-13,0.6256,0.9683666881859176
2024-06-14,0.6183,-1.166879795396436
2024-06-17,0.6195,0.19408054342553438
2024-06-18,0.6302,1.7271993543179764
2024-06-19,0.6244,-0.9203427483338689
2024-06-20,0.6098,-2.3382447149263186
2024-06-21,0.6051,-0.7707445063955487
2024-06-24,0.5811,-3.966286564204269
2024-06-25,0.5718,-1.6004130098089764
2024-06-26,0.5907,3.305351521511013
2024-06-27,0.5771,-2.302353140341973
2024-06-28,0.5915,2.4952347946629816
2024-06-30,0.5914,-0.016906170752317706
2024-07-01,0.5857,-0.9638146770375444
2024-07-02,0.5775,-1.4000341471743227
2024-07-03,0.5676,-1.7142857142857126
2024-07-04,0.5522,-2.713178294573637
2024-07-05,0.5559,0.6700470843896911
2024-07-08,0.5403,-2.806260118726378
2024-07-09,0.5558,2.8687766055894848
2024-07-10,0.5553,-0.08996041741632377
2024-07-11,0.5658,1.8908698001080415
2024-07-12,0.5601,-1.0074231177094273
2024-07-15,0.5567,-0.6070344581324938
2024-07-16,0.5615,0.8622238189329945
2024-07-17,0.5488,-2.2617987533392725
2024-07-18,0.5491,0.05466472303208292
2024-07-19,0.5586,1.7301038062283558
2024-07-22,0.5714,2.291442892946649
2024-07-23,0.5557,-2.7476373818691058
2024-07-24,0.5584,0.4858736728450719
2024-07-25,0.5585,0.017908309455583193
2024-07-26,0.5807,3.974932855863922
2024-07-29,0.58,-0.12054417082831836
2024-07-30,0.5896,1.6551724137931156
2024-07-31,0.6,1.7639077340569909
2024-08-01,0.6088,1.4666666666666828
2024-08-02,0.5993,-1.560446780551894
2024-08-05,0.5698,-4.922409477724021
2024-08-06,0.5831,2.3341523341523285
2024-08-07,0.6039,3.5671411421711596
2024-08-08,0.5787,-4.172876304023843
2024-08-09,0.5702,-1.4688094003801555
2024-08-12,0.5585,-2.051911609961421
2024-08-13,0.5641,1.0026857654431565
2024-08-14,0.557,-1.2586420847367497
2024-08-15,0.5573,0.05385996409335014
2024-08-16,0.5494,-1.417548896465104
2024-08-19,0.5484,-0.18201674554059188
2024-08-20,0.5409,-1.367614879649881
2024-08-21,0.5358,-0.9428729894620069
2024-08-22,0.5327,-0.5785740948115126
2024-08-23,0.5295,-0.6007133470996795
2024-08-26,0.5274,-0.3966005665722361
2024-08-27,0.5164,-2.085703450891163
2024-08-28,0.5193,0.5615801704105472
2024-08-29,0.5312,2.29154631234354
2024-08-30,0.5418,1.9954819277108404
2024-09-02,0.5237,-3.34071613141379
2024-09-03,0.531,1.3939278212717232
2024-09-04,0.5293,-0.3201506591337111
2024-09-05,0.536,1.2658227848101333
2024-09-06,0.5235,-2.332089552238814
2024-09-09,0.5195,-0.764087870105068
2024-09-10,0.5252,1.0972088546679526
2024-09-11,0.5221,-0.5902513328255865
2024-09-12,0.5191,-0.5746025665581356
2024-09-13,0.5105,-1.6567135426700186
2024-09-18,0.5096,-0.1762977473065419
2024-09-19,0.5188,1.8053375196232402
2024-09-20,0.5157,-0.597532767925979
2024-09-23,0.5188,0.6011246848943275
2024-09-24,0.5333,2.7949113338473275
2024-09-25,0.539,1.0688168010500654
2024-09-26,0.5549,2.949907235621496
2024-09-27,0.5859,5.586592178770955
2024-09-30,0.6564,12.032770097286228
2024-10-08,0.7413,12.934186471663622
2024-10-09,0.6755,-8.87629839471199
2024-10-10,0.6731,-0.3552923760177573
2024-10-11,0.6345,-5.7346605259248395
2024-10-14,0.667,5.122143420015779
2024-10-15,0.6617,-0.7946026986506816
2024-10-16,0.6557,-0.9067553271875473
2024-10-17,0.665,1.418331554064367
2024-10-18,0.6987,5.067669172932332
2024-10-21,0.7428,6.3117217689995675
2024-10-22,0.7303,-1.682821755519659
2024-10-23,0.7441,1.8896343968232365
